
GDICE
2 0.8528182016997577 0.06493333160446242
3 0.9230932455927136 0.03269671257460617
4 0.8917544510398484 0.05070635444101138
5 0.9218614386169632 0.016403060295080985

ADICE
2 0.7227980673313141 0.10233541301791316
3 0.811684234937032 0.05926286413545481
4 0.7723237673441569 0.07558762605797824
5 0.8376512885093689 0.03411566548278184

GED
2 0.24315089490232084 0.0955749720935306
3 0.16436326740587648 0.05359425963355001
4 0.19853838182527836 0.09859684411394723
5 0.19819025796314735 0.03666392971281384


